ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
218,Kovilpatti,KARUNANITHI.K,DMK,61643,80.14,South,GEN,BALASUBRAMANIAN.S,TVK,60800,843
219,Sankarankovil,DR. DHILIPAN JAISHANKAR,AIADMK,64865,82.2,South,SC,C. RAMARAJAN,TVK,58376,6489
220,Vasudevanallur,E. RAJA,DMK,63045,82.82,South,SC,ANANTHAN AYYASAMY,BJP,56462,6583
221,Kadayanallur,RAJENDRAN. T. M,DMK,79832,82.29,South,GEN,C. KRISHNAMURALI,AIADMK,73579,6253
222,Tenkasi,DR.KALAI KATHIRAVAN,DMK,79699,83.33,South,GEN,S.SELVA MOHANDAS PANDIAN,AIADMK,69400,10299
223,Alangulam,PAUL MANOJ PANDIAN,DMK,69170,86.36,South,GEN,K R P PRABAKARAN,AIADMK,61372,7798
224,Tirunelveli,MURUGHAN.R.S.,TVK,75840,79.05,South,GEN,SUBRAMANIAN.S,DMK,64426,11414
225,Ambasamudram,DR.ESAKKI SUBAYA,AIADMK,65589,83.77,South,GEN,V.P.DURAI,INC,55344,10245
226,Palayamkottai,M.ABDUL WAHAB,DMK,79744,70.14,South,GEN,MARIA JOHN,TVK,65939,13805
227,Nanguneri,REDDIARPATTI V. NARAYANAN,TVK,74952,81.33,South,GEN,RUBY.R.MANOHARAN,INC,58533,16419
228,Radhapuram,DR.SATHISH CHRISTOPHER,TVK,69947,80.84,South,GEN,APPAVU.M,DMK,57634,12313
229,Kanniyakumari,THALAVAI SUNDARAM. N,AIADMK,75045,82.59,South,GEN,MAHESH.R,DMK,74831,214
230,Nagercoil,AUSTIN,DMK,69880,75.68,South,GEN,BERVIN KINGS G,TVK,62310,7570
231,Colachal,THARAHAI CUTHBERT,INC,66207,74.8,South,GEN,PREM ALEX LAWRENCE,TVK,63374,2833
232,Padmanabhapuram,CHELLASWAMY. R,CPI(M),68938,76.13,South,GEN,KRISHNA KUMAR. S,TVK,53369,15569
233,Vilavancode,PRAVEEN T.T,INC,70755,76.49,South,GEN,MICHAEL KUMAR K,TVK,49785,20970
234,Killiyoor,RAJESH KUMAR. S,INC,66434,71.79,South,GEN,SABIN. S,TVK,65123,1311
