ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
216,Srivaikuntam,Amirtharaj .S,INC,76843,72.34,South,GEN,S.P.SHUNMUGANATHAN,AIADMK,59471,17372
217,Ottapidaram,SHUNMUGAIAH C,DMK,73110,69.82,South,SC,MOHAN P,AIADMK,64600,8510
218,Kovilpatti,KADAMBUR RAJU,AIADMK,68556,67.43,South,GEN,TTV DHINAKARAN,AMMK,56153,12403
219,Sankarankovil,RAJA E,DMK,71347,71.48,South,SC,RAJALAKSHMI V M,AIADMK,66050,5297
220,Vasudevanallur,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,68730,71.87,South,SC,MANOHARAN A,AIADMK,66363,2367
221,Kadayanallur,C.KRISHNAMURALI,AIADMK,88474,70.35,South,GEN,K.A.M.MUHAMMED ABUBACKER,IUML,64125,24349
222,Tenkasi,PALANI NADAR.S,INC,89315,72.4,South,GEN,SELVA MOHANDAS PANDIAN.S,AIADMK,88945,370
223,Alangulam,PAUL MANOJ PANDIAN,AIADMK,74153,77.4,South,GEN,DR.POONGOTHAI ALADI ARUNA,DMK,70614,3539
224,Tirunelveli,Nainar Nagenthran,BJP,92282,66.91,South,GEN,"Lakshmanan,A.L.S.",DMK,69175,23107
225,Ambasamudram,E.SUBAYA,AIADMK,85211,72.03,South,GEN,R.AVUDAIAPPAN,DMK,68296,16915
226,Palayamcottai,ABDUL WAHAB .M,DMK,89117,57.76,South,GEN,GERALD .G,AIADMK,36976,52141
227,Nanguneri,RUBY R MANOHARAN,INC,75902,68.59,South,GEN,GANESARAJA,AIADMK,59416,16486
228,Radhapuram,M.Appavu,DMK,82331,68.08,South,GEN,I.S.Inbadurai,AIADMK,76406,5925
229,Kanniyakumari,THALAVAI SUNDARAM N.,AIADMK,109745,75.19,South,GEN,AUSTIN S.,DMK,93532,16213
230,Nagercoil,Gandhi M.R.,BJP,88804,67.06,South,GEN,Suresh Rajan N.,DMK,77135,11669
231,Colachel,Prince J.G.,INC,90681,67.27,South,GEN,Ramesh P.,BJP,65849,24832
232,Padmanabhapuram,"Mano Thangaraj, T.",DMK,87744,70.08,South,GEN,"John Thankam, D.",AIADMK,60859,26885
233,Vilavancode,VIJAYADHARANI S,INC,87473,66.83,South,GEN,JAYASEELAN R,BJP,58804,28669
234,Killiyoor,RAJESH KUMAR  S,INC,101541,65.87,South,GEN,JUDE DEV   K.V,AIADMK,46141,55400
